observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	experimentId	datasetId	replicateId
pRII_Microscopy	model1_data49	model1_data1	972.085779630542	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data1	1024.03993090021	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data1	979.241778646168	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data2	1028.63346243266	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data2	1031.77530467434	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data2	1023.54556275782	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data3	1017.93353509215	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data3	1037.970793188	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data3	1026.81302162824	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data4	1015.96778236031	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data4	991.900245651353	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data4	945.969734590176	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data5	963.146739077231	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data5	960.042432341131	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data5	1032.92241630125	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data6	986.688213044207	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data6	997.931234640771	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data6	1033.93823157778	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__4_ABnOH_and_ctrl	Drg345
pRII_Microscopy	model1_data49	model1_data7	948.372153229011	65	s_pRII_JI09_150302_Drg345_343_CycNuc	s_pRII_JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc	JI09_150302_Drg345_343_CycNuc__Rp8_Br_cAMPS_pAB_and_ctrl	Drg345
